strategy,key,run,window,months,gross_pct,cost_pct,net_pct,net_t,net_sharpe,breakeven_oneway_pct
Short-term reversal,reversal,era,POST,432,0.13865740740740742,1.063715277777778,-0.9250578703703706,-5.362552583828843,-0.8937587639714738,0.07629438065775694
Profitability (RMW),profitability,1x,IS,570,0.27592982456140347,0.030000000000000034,0.24592982456140347,2.5707076917514713,0.3729974752681642,7.039026136770496
Profitability (RMW),profitability,1x,OOS,28,0.22142857142857147,0.030000000000000072,0.1914285714285714,0.6093820765715232,0.3989342132911972,5.648688046647233
Profitability (RMW),profitability,1x,POST,159,0.19578616352201256,0.030000000000000047,0.16578616352201256,0.8781108902891894,0.2412356141992169,4.994544987806441
Profitability (RMW),profitability,0.5x,IS,570,0.27592982456140347,0.015000000000000017,0.26092982456140346,2.7275028891011295,0.395747713629862,7.039026136770496
Profitability (RMW),profitability,0.5x,OOS,28,0.22142857142857147,0.015000000000000048,0.20642857142857143,0.6571321646610829,0.43019398373565676,5.648688046647233
Profitability (RMW),profitability,0.5x,POST,159,0.19578616352201256,0.015000000000000005,0.18078616352201254,0.9575606047557949,0.2630621293686074,4.994544987806441
Profitability (RMW),profitability,2x,IS,570,0.27592982456140347,0.06000000000000002,0.21592982456140347,2.2571172970521554,0.32749699854476855,7.039026136770496
Profitability (RMW),profitability,2x,OOS,28,0.22142857142857147,0.06,0.1614285714285715,0.5138819003924042,0.3364146724022785,5.648688046647233
Profitability (RMW),profitability,2x,POST,159,0.19578616352201256,0.06000000000000004,0.13578616352201253,0.7192114613559787,0.19758258386043598,4.994544987806441
Profitability (RMW),profitability,era,IS,570,0.27592982456140347,0.03278947368421053,0.24314035087719293,2.54045962391561,0.3686086243028374,7.039026136770496
Profitability (RMW),profitability,era,OOS,28,0.22142857142857147,0.015000000000000048,0.20642857142857143,0.6571321646610829,0.43019398373565676,5.648688046647233
Profitability (RMW),profitability,era,POST,159,0.19578616352201256,0.015000000000000005,0.18078616352201254,0.9575606047557949,0.2630621293686074,4.994544987806441
Small-firm January,january,1x,IS,204,0.3413725490196078,0.5420054200542006,-0.20063287103459274,-2.3246178989045947,-0.5638026550814729,1.0241176470588234
Small-firm January,january,1x,OOS,42,0.14523809523809525,0.6194347657762292,-0.474196670538134,-1.9577650845738201,-1.0464694557519634,0.38125000000000003
Small-firm January,january,1x,POST,517,0.033829787234042556,0.5409570536711171,-0.5071272664370744,-6.004593116996431,-0.9148058550499114,0.10168604651162792
Small-firm January,january,0.5x,IS,204,0.3413725490196078,0.2710027100271003,0.07036983899250755,0.945763187521652,0.22938126582191845,1.0241176470588234
Small-firm January,january,0.5x,OOS,42,0.14523809523809525,0.3097173828881147,-0.1644792876500194,-1.451908699873566,-0.7760778445433253,0.38125000000000003
Small-firm January,january,0.5x,POST,517,0.033829787234042556,0.27047852683555856,-0.236648739601516,-4.4443764939770105,-0.677105269169362,0.10168604651162792
Small-firm January,january,2x,IS,204,0.3413725490196078,1.0840108401084012,-0.7426382910887934,-3.9609379807226053,-0.9606685688847075,1.0241176470588234
Small-firm January,january,2x,OOS,42,0.14523809523809525,1.2388695315524585,-1.0936314363143633,-2.0532699349984562,-1.0975189456182604,0.38125000000000003
Small-firm January,january,2x,POST,517,0.033829787234042556,1.0819141073422343,-1.0480843201081917,-6.614715112749474,-1.0077585602764747,0.10168604651162792
Small-firm January,january,era,IS,204,0.3413725490196078,0.8130081300813009,-0.47163558106169295,-3.5835806602968767,-0.8691459753132177,1.0241176470588234
Small-firm January,january,era,OOS,42,0.14523809523809525,0.8517228029423152,-0.7064847077042199,-1.9466577032617143,-1.0405323107042268,0.38125000000000003
Small-firm January,january,era,POST,517,0.033829787234042556,0.3774118979100816,-0.3435821106760391,-5.11390295232818,-0.7791083045585199,0.10168604651162792
