window,months,sharpe_timed,sharpe_buyhold,mdd_timed,mdd_buyhold,cost_pct,switches_per_year
IS,396,0.377063223193564,0.36478496444709935,-0.24403818891848317,-0.44994684480196623,0.03015151515151515,1.5151515151515151
OOS,15,1.2711073262924675,1.2711073262924675,-0.03440163209500002,-0.03440163209500002,0.0,0.0
POST,232,0.7510955633606017,0.6494637399659965,-0.1774162750483239,-0.5031170717166413,0.002586206896551724,1.5517241379310347
