,drop_calendar,post_2y_earlier
a,1.0000000000000002,0.9999999999999998
b_oos,0.02014384416147201,-0.14396422699696876
b_post,-0.6154779867817164,-0.6494572322766067
se_oos,0.4065448593685831,0.7830062554336213
se_post,0.1723476420140299,0.11883185367268947
p_post,0.00017771373081771263,2.310019739643441e-08
p_oos,0.5197590594747168,0.4270612934771325
b_post_minus_oos,-0.6356218309431884,-0.5054930052796379
se_diff,0.42301643800612365,0.779710400456948
p_diff,0.06647192564504285,0.2583926668411367
n_obs,3364.0,6889.0
n_months,1111.0,1200.0
n_strategies,4.0,8.0
