window,start,end,months,sharpe_timed,sharpe_buyhold,sharpe_diff,mdd_timed,mdd_buyhold,timed_minus_bh_pct,pct_months_invested
IS,1973-01,2005-12,396,0.39387009979762233,0.36478496444709935,0.029085135350522984,-0.2447958400796969,-0.44994684480196623,-0.07520202020202021,72.72727272727273
OOS,2006-01,2007-03,15,1.2711073262924675,1.2711073262924675,0.0,-0.03440163209500002,-0.03440163209500002,0.0,100.0
POST,2007-04,2026-07,232,0.7392836631361516,0.6494637399659965,0.08981992317015508,-0.1814040278527771,-0.5031170717166413,-0.19508620689655176,78.01724137931035
