,value
a,0.9999999999999998
b_oos,0.09986514276478853
b_post,-0.6986188052388237
se_oos,0.37673861941553305
se_post,0.11978279046090035
p_post,2.7321076785938413e-09
p_oos,0.6045253361486166
b_post_minus_oos,-0.7984839480036122
se_diff,0.37527584867561287
p_diff,0.016679929643622714
n_obs,6889.0
n_months,1200.0
n_strategies,8.0
